stock_ticker,stock_name,curr_price,pred_low,pred_avg,pred_high,# of Analyst,% low/curr,% avg/curr,% high/curr
TJX,TJX Companies,66.7,75.0,80.5,87.0,10,12.44,20.69,30.43
USB,US Bancorp,56.66,55.0,62.66,69.0,17,-2.93,10.59,21.78
CME,CME Group,213.3,151.0,207.5,237.0,14,-29.21,-2.72,11.11
DUK,Duke Energy,98.12,105.0,106.75,109.0,8,7.01,8.8,11.09
GM,General Motors,58.83,60.0,72.93,90.0,12,1.99,23.97,52.98
TFC,Truist Financial,55.3,57.0,64.7,76.0,10,3.07,17.0,37.43
EL,The Estée Lauder Companies,317.51,300.0,338.47,367.0,16,-5.51,6.6,15.59
FDX,FedEx,297.89,270.0,355.45,397.0,24,-9.36,19.32,33.27
EQIX,Equinix,802.33,800.0,881.63,920.0,15,-0.29,9.88,14.67
CB,Chubb,158.4,159.0,184.8,200.0,10,0.38,16.67,26.26
BDX,Becton Dickinson,246.89,260.0,270.0,285.0,5,5.31,9.36,15.44
MMC,Marsh & Mclennan Companies,140.94,133.0,139.63,145.0,9,-5.63,-0.93,2.88
COF,Capital One Financial,154.15,130.0,164.47,210.0,15,-15.67,6.69,36.23
CL,Colgate-Palmolive,81.25,77.0,88.88,95.0,9,-5.23,9.39,16.92
ICE,Intercontinental Exchange,118.76,122.0,132.56,141.0,10,2.73,11.62,18.73
NSC,Norfolk Southern,262.09,175.0,290.35,321.0,18,-33.23,10.78,22.48
SHW,Sherwin-Williams Company,272.78,287.0,312.5,327.0,15,5.21,14.56,19.88
SO,Southern Co,60.46,57.0,67.67,76.0,12,-5.72,11.93,25.7
ITW,Illinois Tool Works,223,207.0,235.09,261.0,11,-7.17,5.42,17.04
EW,Edwards Lifesciences,103.59,85.0,103.0,112.0,13,-17.95,-0.57,8.12
APD,Air Products and Chemicals,286.79,269.0,325.58,360.0,12,-6.2,13.53,25.53
BSX,Boston Scientific,43.23,45.0,49.56,52.0,16,4.09,14.64,20.29
D,Dominion Energy,73.51,80.0,85.88,91.0,8,8.83,16.83,23.79
MCO,Moody's,366.34,322.0,347.8,383.0,9,-12.1,-5.06,4.55
F,Ford Motor,15.01,11.0,15.44,18.0,16,-26.72,2.86,19.92
ETN,Eaton,146.49,145.0,157.78,168.0,9,-1.02,7.71,14.68
HUM,Humana,442.29,431.0,488.58,525.0,11,-2.55,10.47,18.7
EMR,Emerson Electric Company,94.69,91.0,103.92,120.0,14,-3.9,9.75,26.73
PGR,Progressive,98.44,85.0,103.57,125.0,7,-13.65,5.21,26.98
GPN,Global Payments,187.52,180.0,230.13,250.0,15,-4.01,22.72,33.32
NOC,Northrop,360.31,330.0,391.91,478.0,9,-8.41,8.77,32.66
HCA,HCA Healthcare,205.88,215.0,227.67,247.0,13,4.43,10.58,19.97
TWTR,Twitter,69,48.0,68.04,82.0,25,-30.43,-1.39,18.84
AON,Aon,242.9,245.0,261.8,287.0,6,0.86,7.78,18.16
WM,Waste Management,139.46,130.0,143.08,155.0,13,-6.78,2.6,11.14
FCX,Freeport-McMoRan,37.27,39.0,44.66,60.0,8,4.64,19.83,60.99
ECL,Ecolab,208.09,220.0,232.14,250.0,8,5.72,11.56,20.14
DG,Dollar General,216.99,190.0,232.73,260.0,12,-12.44,7.25,19.82
NEM,Newmont Mining,62.58,60.0,72.61,87.75,9,-4.12,16.03,40.22
ROP,Roper Technologies,467.63,386.0,483.57,560.0,8,-17.46,3.41,19.75
JCI,Johnson Controls,68.37,66.0,72.5,80.0,12,-3.47,6.04,17.01
EOG,EOG Resources,82.31,78.0,97.11,114.0,19,-5.24,17.98,38.5
DOW,Dow Inc,62.98,52.0,73.0,95.0,13,-17.43,15.91,50.84
IQV,IQVIA Holdings,244.09,244.0,261.27,280.0,15,-0.04,7.04,14.71
PSA,Public Storage,303.48,228.0,295.63,335.0,9,-24.87,-2.59,10.39
LHX,L3Harris Technologies,215.4,208.0,231.27,250.0,11,-3.44,7.37,16.06
A,Agilent,148.81,136.0,149.89,160.0,9,-8.61,0.73,7.52
TROW,T Rowe Price,197.79,160.0,189.44,215.0,10,-19.11,-4.22,8.7
MET,Metlife,59.48,64.0,70.4,74.0,10,7.6,18.36,24.41
SLB,Schlumberger,31.88,32.0,34.64,38.0,11,0.38,8.66,19.2
KMB,Kimberly Clark,132.54,123.0,139.63,159.0,9,-7.2,5.35,19.96
MSCI,MSCI,542.17,480.0,530.0,557.0,6,-11.47,-2.24,2.74
TEL,TE Connectivity,135.16,135.0,145.64,160.0,11,-0.12,7.75,18.38
GD,General Dynamics,186.7,160.0,205.44,243.0,10,-14.3,10.04,30.16
TT,Trane Technologies,182.83,180.0,192.62,210.0,13,-1.55,5.35,14.86
SRE,Sempra Energy,133.72,143.0,151.29,158.0,8,6.94,13.14,18.16
CNC,Centene,73.75,70.0,85.55,94.0,11,-5.08,16.0,27.46
DLR,Digital Realty,152.41,153.0,164.63,177.0,7,0.39,8.02,16.13
SPG,Simon Property,130.99,125.0,135.09,150.0,10,-4.57,3.13,14.51
CMG,Chipotle,1534.28,725.0,1663.14,2100.0,24,-52.75,8.4,36.87
INFO,IHS Markit,112.7,105.0,121.6,131.0,5,-6.83,7.9,16.24
APTV,Aptiv,158.3,98.0,168.92,205.0,12,-38.09,6.71,29.5
DD,DuPont de Nemours,77.13,92.0,95.29,102.0,7,19.28,23.54,32.24
AIG,American International Group,47.4,47.0,52.9,60.0,10,-0.84,11.6,26.58
BAX,Baxter International,81.86,85.0,94.63,105.0,7,3.84,15.6,28.27
BK,BNY Mellon,51.02,46.0,54.0,64.0,9,-9.84,5.84,25.44
APH,Amphenol,68.5,70.0,76.63,82.0,7,2.19,11.87,19.71
PRU,Prudential Financial,101.73,100.0,106.6,125.0,10,-1.7,4.79,22.87
PPG,PPG Industries,168.56,155.0,186.92,205.0,11,-8.04,10.89,21.62
MPC,Marathon Petroleum,60.08,68.0,72.91,83.0,11,13.18,21.35,38.15
ALL,Allstate,129.57,118.0,137.25,155.0,13,-8.93,5.93,19.63
PH,Parker Hannifin,302.65,306.0,357.42,385.0,12,1.11,18.1,27.21
CARR,Carrier Global,48.71,45.0,52.1,57.0,10,-7.62,6.96,17.02
STZ,Constellation Brands,230.98,219.0,268.14,305.0,14,-5.19,16.09,32.05
SYY,Sysco,75.68,83.0,90.0,97.0,7,9.67,18.92,28.17
TRV,Travelers Companies,149.52,153.0,162.25,175.0,9,2.33,8.51,17.04
PSX,Phillips 66,85.11,89.0,99.22,126.0,9,4.57,16.58,48.04
PXD,Pioneer Natural,158.66,167.0,198.18,245.0,21,5.26,24.91,54.42
GIS,General Mills,60.03,63.0,65.67,69.0,4,4.95,9.4,14.94
IFF,International Flavors & Fragrances,148.76,129.0,157.6,184.0,9,-13.28,5.94,23.69
DFS,Discover Financial Services,116.88,104.0,122.33,142.0,13,-11.02,4.66,21.49
MSI,Motorola Solutions,217.01,210.0,235.83,301.0,6,-3.23,8.67,38.7
RMD,Resmed,246.29,22.381227,206.56,270.0,6,-90.91,-16.13,9.63
TDG,Transdigm Group,644.23,650.0,677.57,718.0,8,0.9,5.18,11.45
HPQ,HP,30.14,27.0,35.4,40.0,5,-10.42,17.45,32.71
CMI,Cummins,239.61,260.0,288.44,358.0,11,8.51,20.38,49.41
SBAC,SBA Communications,322.01,312.0,336.56,355.0,10,-3.11,4.52,10.25
KMI,Kinder Morgan,17.85,15.0,18.0,21.0,12,-15.97,0.84,17.65
YUM,Yum! Brands,115.56,116.0,124.29,135.0,17,0.38,7.55,16.82
WELL,Welltower,83.41,70.0,83.13,94.0,17,-16.08,-0.34,12.7
AFL,AFLAC,53.55,47.0,54.67,61.0,9,-12.23,2.09,13.91
ZBH,Zimmer Biomet Holdings,161.18,160.0,194.25,210.0,16,-0.73,20.52,30.29
ADM,Archer Daniels Midland,60.6,60.0,70.8,80.0,8,-0.99,16.83,32.01
HLT,Hilton Worldwide Holdings,118.95,110.0,121.38,145.0,9,-7.52,2.04,21.9
FTNT,Fortinet,243.24,187.0,222.65,270.0,18,-23.12,-8.46,11.0
OTIS,Otis Worldwide,82.08,65.0,81.43,90.0,8,-20.81,-0.79,9.65
CTVA,Corteva,44.28,42.0,52.4,55.0,10,-5.15,18.34,24.21
SWK,Stanley Black & Decker,204.39,206.0,227.8,241.0,7,0.79,11.45,17.91
ROK,Rockwell Automation,283.58,205.0,268.0,313.0,11,-27.71,-5.49,10.37
FRC,First Republic Bank,185.96,163.0,189.08,230.0,14,-12.35,1.68,23.68
AZO,AutoZone,1491.7,1390.0,1611.54,1700.0,15,-6.82,8.03,13.96
MTD,Mettler-Toledo,1397.65,1139.0,1285.5,1350.0,4,-18.51,-8.02,-3.41
WMB,Williams Co,26.14,26.0,28.4,30.0,10,-0.54,8.65,14.77
VLO,Valero Energy,76.92,81.0,94.5,119.0,10,5.3,22.85,54.71
GLW,Corning,40.85,40.0,48.75,54.0,8,-2.08,19.34,32.19
LUV,Southwest Airlines,52.92,64.0,71.8,85.0,12,20.94,35.68,60.62
AME,Ametek,132.98,137.0,153.38,170.0,9,3.02,15.34,27.84
MCK,McKesson,191.8,205.0,226.55,257.0,11,6.88,18.12,33.99
PEG,Public Service Enterprise,59.49,65.0,68.15,72.0,9,9.26,14.56,21.03
SIVB,Svb Financial Group,556.89,457.0,600.07,700.0,16,-17.94,7.75,25.7
KR,Kroger Company,38.85,31.0,38.46,46.0,15,-20.21,-1.0,18.4
WLTW,Willis Group,232.19,259.0,275.17,300.0,8,11.55,18.51,29.2
DHI,DR Horton,90.51,94.0,112.4,124.0,10,3.86,24.19,37.0
AVB,AvalonBay,210.31,176.0,209.6,251.0,16,-16.31,-0.34,19.35
CBRE,CBRE Group,85.99,93.0,100.25,112.0,4,8.15,16.58,30.25
EFX,Equifax,239.31,175.0,236.09,270.0,10,-26.87,-1.35,12.82
STT,State Street,81.68,86.0,95.33,105.0,9,5.29,16.71,28.55
AJG,Arthur J Gallagher & Co,141.2,133.0,154.5,170.0,10,-5.81,9.42,20.4
AMP,Ameriprise Financial,248.19,250.0,280.0,295.0,8,0.73,12.82,18.86
KEYS,Keysight Technologies,155.79,155.0,164.2,178.0,5,-0.51,5.4,14.26
WEC,WEC Energy Group,89.02,90.0,97.6,110.0,4,1.1,9.64,23.57
AWK,American Water,155.48,155.0,166.0,183.0,6,-0.31,6.77,17.7
NUE,Nucor,94.63,95.0,107.14,117.0,7,0.39,13.22,23.64
ZBRA,Zebra Tech,536.06,415.0,476.67,525.0,3,-22.58,-11.08,-2.06
ES,Eversource Energy,80.13,82.0,88.88,95.0,10,2.33,10.92,18.56
VIAC,ViacomCBS,44.63,33.0,51.75,80.0,17,-26.06,15.95,79.25
DAL,Delta Airlines,42.87,52.0,58.75,73.0,10,21.3,37.04,70.28
FITB,Fifth Third Bancorp,38.09,33.0,42.09,48.0,11,-13.36,10.5,26.02
LEN,Lennar,99.22,100.0,123.5,160.0,10,0.79,24.47,61.26
WST,West Pharmaceutical Services,360,340.0,340.0,340.0,1,-5.56,-5.56,-5.56
BLL,Ball,81.63,87.0,102.78,116.0,10,6.58,25.91,42.1
EQR,Equity Residential,77.56,63.0,78.69,89.0,15,-18.77,1.46,14.75
LH,Laboratory,276,295.0,312.25,339.0,8,6.88,13.13,22.83
SYF,Synchrony Financial,48,48.0,54.22,59.0,10,0.0,12.96,22.92
OXY,Occidental Petroleum,31.3,20.0,30.53,42.0,16,-36.1,-2.46,34.19
LYB,LyondellBasell,102.25,107.0,123.54,142.0,13,4.65,20.82,38.88
KSU,Kansas City Southern,284.95,275.0,296.11,327.0,10,-3.49,3.92,14.76
VFC,VF,81.05,86.0,98.45,110.0,11,6.11,21.47,35.72
GNRC,Generac Holdings,410.42,375.0,417.9,475.0,10,-8.63,1.82,15.74
BBY,Best Buy Co,114.97,109.0,130.64,150.0,17,-5.19,13.63,30.47
ENPH,Enphase Energy,185.71,160.0,199.29,225.0,18,-13.84,7.31,21.16
HSY,Hershey Co,172,166.0,176.11,188.0,9,-3.49,2.39,9.3
WY,Weyerhaeuser,34.14,35.0,41.5,46.0,5,2.52,21.56,34.74
DTE,DTE Energy,129.49,133.0,143.4,152.0,11,2.71,10.74,17.38
O,Realty Income,67.7145,66.0,75.33,81.0,6,-2.53,11.25,19.62
ARE,Alexandria Equities,183.02,200.0,205.0,210.0,3,9.28,12.01,14.74
ED,Consolidated Edison,72.05,73.0,76.63,82.0,7,1.32,6.36,13.81
ETSY,Etsy,202.53,135.0,220.5,270.0,12,-33.34,8.87,33.31
OKE,Oneok,55.18,48.0,55.15,60.0,12,-13.01,-0.05,8.74
ODFL,Old Dominion Freight,255.03,236.0,265.67,295.0,13,-7.46,4.17,15.67
NTRS,Northern,114.93,98.0,117.09,132.0,11,-14.73,1.88,14.85
IP,International Paper Co,60.69,44.0,66.73,96.0,11,-27.5,9.95,58.18
FTV,Fortive,70.17,72.0,80.2,88.0,11,2.61,14.29,25.41
HES,Hess,86.19,73.0,96.36,120.0,12,-15.3,11.8,39.23
VMC,Vulcan Materials,174.1,177.0,195.57,220.0,8,1.67,12.33,26.36
EXPE,Expedia,159.9,155.0,190.25,237.0,21,-3.06,18.98,48.22
URI,United Rentals,315.02,267.0,359.38,400.0,9,-15.24,14.08,26.98
